name,city_or_area,email,phone,website,source_note,status,notes
Xylem Learning,Kozhikode,info@xylemlearning.com,+916009100300,https://xylemlearning.com/contact-us/,"Public contact page",not_contacted,
Winner's Coaching Centre,Thrissur,info@winnerseduworld.com,+917034112200,https://www.winnerseduworld.com/contact,"Public contact page",not_contacted,
Starmount Entrance Coaching,Ernakulam,starmountinstitute@gmail.com,+917591917770,https://starmount.in/contact-us/,"Public contact page",not_contacted,
Vajiram Academy / VAJ ECC,Kochi,info@vajecc.edu.in,+914842577442,https://www.vajecc.edu.in/,"Public site footer/contact details",not_contacted,
Eduport,Kozhikode,hello@eduport.app,+919207998855,https://eduport.app/contact/,"Public contact page",not_contacted,
Raja's Academy / Raja Tuitions,Thiruvananthapuram,contact@rajatuitions.com,+918089384855,https://rajatuitions.com/contactus/,"Public contact page",not_contacted,
Ignite Entrance Coaching,Ernakulam,iccekmtcr.official@gmail.com,+919072134931,https://www.ignitethrissur.in/ernakulam,"Public contact page",not_contacted,
Direction Coaching,Kerala,info@direction.org.in,+918907777456,https://direction.org.in/contact,"Public contact page",not_contacted,
Universal Institute,Kottakkal,info@universalinstitute.in,+917034031009,https://universalinstitute.in/contact-us.html,"Public contact page",not_contacted,
Universal Institute,Kottakkal,universalkottakkal@gmail.com,+919895165807,https://universalinstitute.in/contact-us.html,"Public contact page",not_contacted,
Tandem Global,Ernakulam,contactus@tandemglobal.com,,https://www.tandemglobal.com/contact/,"Public contact page",not_contacted,
Zephyr Entrance,Kerala,info@zephyrentrance.in,+919645474080,https://zephyrentrance.in/,"Public contact section",not_contacted,
Kochi Home Tuition,Kochi,kochihometuition@gmail.com,+918893055888,https://kochihometuition.com/,"Public contact page",not_contacted,
Magus Academy,Kozhikode,mail@magusacademy.in,+918113004411,https://www.magusacademy.in/,"Public contact page",not_contacted,
Siyon Academy,Thrissur,siyontcr@gmail.com,+919495114547,https://siyon.in/contact-us.html,"Public contact page",not_contacted,
E Square Academy,Thiruvananthapuram,esquareinstitution@gmail.com,+916282121108,https://esquareacademy.in/,"Public contact section",not_contacted,
Dream Them,Thrissur,pskeduventures@gmail.com,+918113813377,https://dreamthem.in/locationthrissur,"Public contact section",not_contacted,
Dream Them,Thrissur,etutorekm@gmail.com,+919072311337,https://dreamthem.in/locationthrissur,"Public contact section",not_contacted,
New10's Edutech,North Paravur,info@new10s.in,+918589800097,https://new10s.in/contact/,"Public contact page",not_contacted,
